API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5123363850000,561.90808,0.00529,0.41244,17.21197158,60,2/11/2019 23:22
5123364060000,254.18689,0.01584,0.90534,8.173419777,0,2/11/2019 23:23
5123364310000,570.19302,0.02786,1.05292,17.06231731,0,2/11/2019 23:23
5123364780000,456.96942,0.00717,0.65615,18.11014013,22,2/11/2019 23:23
5123365320000,461.96066,0.02075,1.11978,12.77975155,0,2/11/2019 23:23
5123365560000,187.66391,0.02366,1.3117,5.202285662,33,2/11/2019 23:23
5123365570000,200,0.03512,0.9889,8.305131121,0,2/11/2019 23:24
5123365970000,1179.42897,0.06195,1.48252,32.33157534,30,2/11/2019 23:24
5123366260000,247.84368,0.01014,0.69777,15.14176029,31,2/11/2019 23:25
5123366870000,256.57135,0.00816,0.65073,9.840744692,0,2/11/2019 23:25
5123367000000,452.10511,0.03693,1.23434,14.45535569,30,2/11/2019 23:25
5123368100000,344.0579,0.01214,1.05669,11.2299731,0,2/11/2019 23:26
5123368250000,455.3392,0.02479,1.28874,17.14134482,30,2/11/2019 23:26
5123368260000,225.77545,0.00419,0.73657,8.170341814,0,2/11/2019 23:26
5123368270000,293.13359,0.00994,1.34461,12.53008339,0,2/11/2019 23:26
5123384980000,682.70049,0.02019,0.75989,20.63869897,62,2/11/2019 23:27
5123385010000,474.42245,0.01265,0.44173,79.9706855,0,2/11/2019 23:27
5123386080000,404.63525,0.00363,0.34149,13.6891177,18,2/11/2019 23:28
5123386240100,65,0.00223,0.94075,3.827424947,0,2/11/2019 23:28
5123386250000,362.03231,0.00673,0.70742,8.712927719,14,2/11/2019 23:29
5123386270000,405.81237,0.00441,0.44183,9.131031665,43,2/11/2019 23:29
5123386590000,231.18488,0.01501,1.07856,12.07098544,0,2/11/2019 23:29
5123386640000,307.29796,0.01813,0.81029,13.37913448,0,2/11/2019 23:29
5123388310000,287.33865,0.00921,0.76666,6.690852004,12,2/11/2019 23:30
5123388830000,527.54499,0.09055,1.43111,14.2552605,17,2/11/2019 23:30
5123390130000,341.73762,0.01354,1.09105,13.3461839,16,2/11/2019 23:30
5123390290000,359.24159,0.02542,1.12004,13.69264505,0,2/11/2019 23:30
5123390490000,659.58116,0.03014,1.30634,23.86718392,53,2/11/2019 23:31
5123390790000,347.93597,0.00813,0.92156,11.62355059,0,2/11/2019 23:31
5123390920000,277.81657,0.00396,0.38608,13.94149007,0,2/11/2019 23:31
5123391250000,531.84378,0.01762,1.00029,15.85695398,19,2/11/2019 23:31
5123391670000,315.25259,0.04154,1.27774,12.33961257,0,2/11/2019 23:31
5123368770000,414.72005,0.0265,0.93927,12.72628855,0,2/11/2019 23:31
5123369090000,203.69183,0.00284,0.30122,18.4592855,109,2/11/2019 23:32
5123369740000,337.40243,0.00377,0.36193,17.94766576,0,2/11/2019 23:32
5123370440000,171.19764,0.00295,0.55976,15.26778993,52,2/11/2019 23:32
